value,50km,25km,15km,10km,5km,2km,1km
0,12327,51260,144202,326641,1311638,8216873,32877886
1,293,642,1018,1336,1798,2267,2560
2,152,238,322,400,515,624,680
3,85,127,177,198,239,274,271
4,45,78,106,108,130,128,144
5,40,58,71,86,99,113,112
6,31,55,48,50,54,55,53
7,27,34,34,37,34,35,35
8,28,27,30,34,38,35,36
9,19,16,21,20,17,21,21
10,12,14,13,15,12,15,14
11,3,9,4,3,1,1,1
12,5,5,4,4,5,3,6
13,8,3,5,2,4,1,1
14,5,3,3,2,1,2,5
15,1,1,NA,4,2,6,2
16,1,2,NA,NA,1,NA,2
17,2,4,1,1,1,2,NA
20,2,NA,1,1,2,1,1
21,2,NA,1,2,1,NA,NA
23,1,NA,1,NA,NA,NA,NA
30,1,NA,NA,NA,NA,NA,NA
18,NA,1,3,1,1,1,2
22,NA,1,NA,NA,NA,NA,NA
24,NA,1,NA,NA,NA,NA,NA
28,NA,1,1,NA,NA,NA,NA
19,NA,NA,NA,1,NA,1,NA
26,NA,NA,NA,1,NA,NA,NA
25,NA,NA,NA,NA,1,NA,NA
